,locality
2879,Kadugodi
2880,Nallurahalli
2881,Kadugodi
2882,Hagadur
2883,Dodda Nekkundi
2884,Hemmigepura
2885,Nallurahalli
2886,Banashankari
2887,Chikkalasandra
2888,Sunkenahalli Ward
2889,Vrisabhavathi Nagar
2890,Others
2891,BTM Layout
2892,Nallurahalli
2893,Hoodi
2894,Varthur
2895,Agaram
2896,Bellanduru
2897,Hagadur
2898,Hagadur
2899,C V Raman Nagar
2900,Kadugodi
2901,Bellanduru
2902,Gali Anjenaya Temple ward
2903,Hoodi
2904,Kadugodi
2905,Konena Agrahara Ward
2906,Maruthi Seva Nagar
2907,Rajarajeshwari Nagar
2908,Sarakki
2909,Hagadur
2910,Jakkasandra
2911,Hemmigepura
2912,Chikkalasandra
2913,Haralur
2914,HSR Layout
2915,Varthur
2916,Varthur
2917,Bilekahalli
2918,Iblur
2919,Kaadubeesanahalli
2920,Kadugodi
2921,Hagadur
2922,Dodda Nekkundi
2923,Brookefields
2924,Varthur
2925,AGS Layout
2926,Thubarahalli
2927,Konena Agrahara Ward
2928,Panathur
2929,Kadugodi
2930,Garudachara Palya
2931,Bilekahalli
2932,Cox Town
2933,Sitaramapalya
2934,Haralur
2935,Vignananagar
2936,Hagadur
2937,Madhuranagara
2938,BTM Layout
2939,Marathahalli
2940,HSR Layout
2941,Domlur
2942,Devarabeesanahalli
2943,Kadugodi
2944,Munekolala
2945,Jakkasandra
2946,Kaggadasapura
2947,Udaya Nagar
2948,Bommanahalli
2949,Brookefields
2950,Nallurahalli
2951,Dodda Nekkundi
2952,Yediyur Ward
2953,Bellanduru
2954,ISRO Layout
2955,Chikkalasandra
2956,Hagadur
2957,Kaggadasapura
2958,Sitaramapalya
2959,Hagadur
2960,Rajarajeshwari Nagar
2961,Jaraganahalli Ward
2962,Thubarahalli
2963,Malleshpalya
2964,Munekolala
2965,Ambalipura
2966,Bommanahalli
2967,Bommanahalli
2968,Bommanahalli
2969,Thubarahalli
2970,Kodihalli
2971,Haralur
2972,Vannarpetai
2973,Lal Bahadur Shastri Nagar
2974,HAL Airport Ward
2975,BTM Layout
2976,Varthur
2977,Others
2978,Hagadur
2979,Rajarajeshwari Nagar
2980,Bellanduru
2981,Nallurahalli
2982,Kaggadasapura
2983,Konena Agrahara Ward
2984,Kaggadasapura
2985,Hosa Tippasandra
2986,Ambalipura
2987,Madiwala
2988,Puttenahalli
2989,Hagadur
2990,Hoodi
2991,Bilekahalli
2992,Hagadur
2993,Kaadubeesanahalli
2994,Varthur
2995,Hanumantha Nagar
2996,Devarabeesanahalli
2997,Kaggadasapura
2998,Haralur
2999,JP Nagar
3000,Bhoganahalli
3001,Varthur
3002,Konena Agrahara Ward
3003,Hoodi
3004,Dodda Nekkundi
3005,Vidyapeeta ward
3006,C V Raman Nagar
3007,Hoodi
3008,Dodda Nekkundi
3009,Munekolala
3010,Kadugodi
3011,Dodda Nekkundi
3012,Chikkalasandra
3013,Dodda Nekkundi
3014,Kadugodi
3015,Thubarahalli
3016,Lal Bahadur Shastri Nagar
3017,Puttenahalli
3018,Rajarajeshwari Nagar
3019,Varthur
3020,Konena Agrahara Ward
3021,Sudhama Nagara
3022,C V Raman Nagar
3023,AGS Layout
3024,Nallurahalli
3025,Hoodi
3026,Rajarajeshwari Nagar
3027,Domlur
3028,Kadugodi
3029,Hoysala Nagara
3030,Malleshpalya
3031,Bellanduru
3032,Varthur
3033,Banashankari
3034,Ambalipura
3035,Banashankari
3036,Munekolala
3037,HSR Layout
3038,BTM Layout
3039,Domlur
3040,AGS Layout
3041,Varthur
3042,Hagadur
3043,Padmanabha Nagar
3044,Ejipura
3045,Malleshpalya
3046,Puttenahalli
3047,Kaadubeesanahalli
3048,Dodda Nekkundi
3049,Ambalipura
3050,Subramanyapura
3051,Hagadur
3052,Kaggadasapura
3053,BTM Layout
3054,Kottigepalya
3055,Ittamadu
3056,Hagadur
3057,Adugodi
3058,Devasandra
3059,Kadugodi
3060,Banashankari
3061,Iblur
3062,Rajarajeshwari Nagar
3063,Girinagar
3064,Gali Anjenaya Temple ward
3065,Bellanduru
3066,Bellanduru
3067,Hoysala Nagara
3068,GM Palya
3069,Panathur
3070,Vignananagar
3071,Kadugodi
3072,Rajarajeshwari Nagar
3073,Hagadur
3074,Dodda Nekkundi
3075,Munekolala
3076,Madiwala
3077,Thubarahalli
3078,Kadugodi
3079,Varthur
3080,Pattanduru Agrahara
3081,HSR Layout
3082,Nayandahalli Ward
3083,Garudachara Palya
3084,Jogupalya
3085,Hagadur
3086,Bhoganahalli
3087,Kadugodi
3088,Varthur
3089,Vignananagar
3090,Bilekahalli
3091,Munekolala
3092,GM Palya
3093,Bellanduru
3094,Vasanth Nagar
3095,Hagadur
3096,Dodda Nekkundi
3097,Panathur
3098,Bhoganahalli
3099,Prakash Nagar Ward
3100,Dodda Nekkundi
3101,Kottigepalya
3102,Hoodi
3103,Hagadur
3104,Bellanduru
3105,Sriramamandir Ward
3106,Devarabeesanahalli
3107,C V Raman Nagar
3108,Malleshpalya
3109,Varthur
3110,HSR Layout
3111,C V Raman Nagar
3112,Ejipura
3113,Ejipura
3114,Others
3115,Kadugodi
3116,Gandhinagar
3117,Hampi Nagar
3118,Hagadur
3119,Dodda Nekkundi
3120,Varthur
3121,Bilekahalli
3122,Brookefields
3123,Bellanduru
3124,Garudachara Palya
3125,Adugodi
3126,Dodda Nekkundi
3127,Varthur
3128,Hoodi
3129,BTM Layout
3130,Gandhinagar
3131,Bhuvaneshwari Nagar
3132,Jakkasandra
3133,Bellanduru
3134,Haralur
3135,Kadugodi
3136,C V Raman Nagar
3137,Varthur
3138,Bellanduru
3139,Garudachara Palya
3140,Panathur
3141,Garudachara Palya
3142,Brookefields
3143,Pattanduru Agrahara
3144,Puttenahalli
3145,Thubarahalli
3146,Bellanduru
3147,Haralur
3148,Rajarajeshwari Nagar
3149,HSR Layout
3150,Bellanduru
3151,JP Nagar
3152,Hagadur
3153,HSR Layout
3154,Bellanduru
3155,Nallurahalli
3156,Hagadur
3157,Hoodi
3158,Kadugodi
3159,Vignananagar
3160,Srinivasapura
3161,Jaraganahalli Ward
3162,Varthur
3163,Pattanduru Agrahara
3164,Kodihalli
3165,Nallurahalli
3166,Govindaraj Nagar
3167,Kumaraswamy Layout
3168,Hagadur
3169,Hagadur
3170,Hagadur
3171,Garudachara Palya
3172,Bellanduru
3173,JP Nagar
3174,Others
3175,C V Raman Nagar
3176,C V Raman Nagar
3177,Nallurahalli
3178,HSR Layout
3179,Hoodi
3180,BTM Layout
3181,Dodda Nekkundi
3182,Kadugodi
3183,BTM Layout
3184,Varthur
3185,Hagadur
3186,Vignananagar
3187,Jogupalya
3188,Lakkasandra
3189,AGS Layout
3190,Haralur
3191,Hemmigepura
3192,Konena Agrahara Ward
3193,Munekolala
3194,Marathahalli
3195,Jnana Bharathi
3196,Hagadur
3197,ISRO Layout
3198,Rajarajeshwari Nagar
3199,Malleshpalya
3200,Jeevanbhima Nagar
3201,ISRO Layout
3202,Dodda Nekkundi
3203,Byrasandra Ward
3204,Varthur
3205,AGS Layout
3206,Kaggadasapura
3207,Hemmigepura
3208,Koramangala
3209,Panathur
3210,Hagadur
3211,Nallurahalli
3212,Yelchenahalli Ward
3213,Gandhinagar
3214,Varthur
3215,Dodda Nekkundi
3216,Kadugodi
3217,Dodda Nekkundi
3218,Ittamadu
3219,AECS Layout
3220,Pattanduru Agrahara
3221,Vignananagar
3222,Kadugodi
3223,Hagadur
3224,Yemaluru
3225,Hagadur
3226,Dodda Nekkundi
3227,Varthur
3228,Pattabhiram Nagar
3229,C V Raman Nagar
3230,Bilekahalli
3231,Domlur
3232,Kadugodi
3233,Malleswaram
3234,Sriramamandir Ward
3235,Devasandra
3236,Nallurahalli
3237,Dodda Nekkundi
3238,Chikkalasandra
3239,C V Raman Nagar
3240,Others
3241,Padmanabha Nagar
3242,Gandhinagar
3243,Bellanduru
3244,Rajarajeshwari Nagar
3245,Thubarahalli
3246,Sitaramapalya
3247,Devarabeesanahalli
3248,Domlur
3249,Koramangala
3250,Dodda Nekkundi
3251,Basavanagudi
3252,Munekolala
3253,Bellanduru
3254,Others
3255,Nallurahalli
3256,Domlur
3257,Hagadur
3258,Munekolala
3259,Garudachara Palya
3260,Nallurahalli
3261,Jaraganahalli Ward
3262,Varthur
3263,Frazer Town
3264,Varthur
3265,Thubarahalli
3266,C V Raman Nagar
3267,Suddagunte Palya Ward
3268,Hoodi
3269,Others
3270,BTM Layout
3271,Kadugodi
3272,Gurappanapalya Ward
3273,Dodda Nekkundi
3274,HSR Layout
3275,Kadugodi
3276,Thubarahalli
3277,Thubarahalli
3278,Basavanagudi
3279,Nallurahalli
3280,Hagadur
3281,Kadugodi
3282,Subramanyapura
3283,Madhuranagara
3284,Munekolala
3285,BTM Layout
3286,Hagadur
3287,Benniganahalli Ward
3288,Ejipura
3289,Srinivasapura
3290,Hagadur
3291,Padmanabha Nagar
3292,Varthur
3293,Shanthi Nagar
3294,Kodihalli
3295,Govindaraj Nagar
3296,Kaadubeesanahalli
3297,Hoodi
3298,Rajarajeshwari Nagar
3299,Ambalipura
3300,Vasanth Nagar
3301,HAL Airport Ward
3302,Bommanahalli
3303,Shakambari Nagar
3304,Madiwala
3305,Varthur
3306,Bommanahalli
3307,Govindaraj Nagar
3308,Srinivasapura
3309,Bellanduru
3310,Haralur
3311,Kadugodi
3312,Kodihalli
3313,Subramanyapura
3314,Munekolala
3315,Kumaraswamy Layout
3316,Jogupalya
3317,Rajarajeshwari Nagar
3318,Banashankari
3319,Kaveri Layout
3320,Bellanduru
3321,Dodda Nekkundi
3322,BTM Layout
3323,Hongasandra
3324,Hoodi
3325,ISRO Layout
3326,Devarabeesanahalli
3327,Thubarahalli
3328,Bilekahalli
3329,Devarabeesanahalli
3330,Pattabhiram Nagar
3331,Vignananagar
3332,Govindaraj Nagar
3333,Bommanahalli
3334,Dodda Nekkundi
3335,Dodda Nekkundi
3336,Kaggadasapura
3337,Dodda Nekkundi
3338,Varthur
3339,BTM Layout
3340,Banashankari
3341,Konena Agrahara Ward
3342,Subramanyapura
3343,Haralur
3344,Domlur
3345,AGS Layout
3346,Udaya Nagar
3347,Hagadur
3348,Kaggadasapura
3349,Vasanthpura Ward
3350,Vimanapura
3351,Hagadur
3352,Others
3353,HSR Layout
3354,Hagadur
3355,Varthur
3356,Koramangala
3357,Yediyur Ward
3358,Garudachara Palya
3359,Rajarajeshwari Nagar
3360,Yelchenahalli Ward
3361,Lakkasandra
3362,Basaveshwaranagar
3363,Rajarajeshwari Nagar
3364,Yediyur Ward
3365,Vrisabhavathi Nagar
3366,Nallurahalli
3367,Hoodi
3368,Sampangiram Nagar Ward
3369,Hagadur
3370,Garudachara Palya
3371,Bellanduru
3372,Kadugodi
3373,Suddagunte Palya Ward
3374,Nallurahalli
3375,AGS Layout
3376,Sitaramapalya
3377,Kadugodi
3378,Suddagunte Palya Ward
3379,Kadugodi
3380,Dodda Nekkundi
3381,Hagadur
3382,Munekolala
3383,Varthur
3384,Nallurahalli
3385,Others
3386,Garudachara Palya
3387,Hagadur
3388,Pattanduru Agrahara
3389,Bilekahalli
3390,Padmanabha Nagar
3391,Haralur
3392,Hongasandra
3393,Srinivasapura
3394,Hombegowda Nagara
3395,Pattabhiram Nagar
3396,Brookefields
3397,Hagadur
3398,Ambalipura
3399,GM Palya
3400,Varthur
3401,Others
3402,Hemmigepura
3403,Suddagunte Palya Ward
3404,Kaggadasapura
3405,Kadugodi
3406,Varthur
3407,Haralur
3408,Pattanduru Agrahara
3409,Koramangala
3410,Kaggadasapura
3411,JP Nagar
3412,Haralur
3413,Rajarajeshwari Nagar
3414,Ambalipura
3415,Nallurahalli
3416,Devasandra
3417,Pattabhiram Nagar
3418,JP Nagar
3419,JP Nagar
3420,JP Nagar
3421,Sitaramapalya
3422,Kundalahalli
3423,Madiwala
3424,BTM Layout
3425,Hagadur
3426,Varthur
3427,HSR Layout
3428,AGS Layout
3429,Benniganahalli Ward
3430,Kaggadasapura
3431,Karisandra Ward
3432,Garudachara Palya
3433,Bellanduru
3434,Srinivasapura
3435,Dodda Nekkundi
3436,Bhoganahalli
3437,Kadugodi
3438,Bellanduru
3439,Bommanahalli
3440,Varthur
3441,Munekolala
3442,Kadugodi
3443,Pattanduru Agrahara
3444,Kadugodi
3445,Hoysala Nagara
3446,Hagadur
3447,Bellanduru
3448,Marathahalli
3449,Varthur
3450,Cleveland Town
3451,Kaadubeesanahalli
3452,Domlur
3453,Rajarajeshwari Nagar
3454,Vrisabhavathi Nagar
3455,HSR Layout
3456,Puttenahalli
3457,Hemmigepura
3458,Gurappanapalya Ward
3459,Karisandra Ward
3460,AGS Layout
3461,Nallurahalli
3462,Kadugodi
3463,Nayandahalli Ward
3464,Sitaramapalya
3465,Srinivasapura
3466,Kaadubeesanahalli
3467,HSR Layout
3468,Srinagar
3469,Bilekahalli
3470,Vasanthpura Ward
3471,C V Raman Nagar
3472,Garudachara Palya
3473,Subramanyapura
3474,AGS Layout
3475,Dodda Nekkundi
3476,Hagadur
3477,Suddagunte Palya Ward
3478,Varthur
3479,Ejipura
3480,Hagadur
3481,Devarabeesanahalli
3482,Bellanduru
3483,AECS Layout
3484,Pattanduru Agrahara
3485,Kadugodi
3486,BTM Layout
3487,Dodda Nekkundi
3488,AGS Layout
3489,Devarabeesanahalli
3490,Kaggadasapura
3491,Varthur
3492,Kadugodi
3493,Konena Agrahara Ward
3494,Rajarajeshwari Nagar
3495,Hagadur
3496,Kadugodi
3497,Ejipura
3498,Bellanduru
3499,Kadugodi
3500,Kaadubeesanahalli
3501,Madiwala
3502,Udaya Nagar
3503,Dodda Nekkundi
3504,Kaggadasapura
3505,Madhuranagara
3506,Madiwala
3507,Hoodi
3508,Kamakshi Palya
3509,Rajarajeshwari Nagar
3510,Madiwala
3511,Bilekahalli
3512,Kadugodi
3513,Hosa Tippasandra
3514,Hoodi
3515,Devarabeesanahalli
3516,Kumaraswamy Layout
3517,Bilekahalli
3518,Bellanduru
3519,Bellanduru
3520,Yelchenahalli Ward
3521,Hagadur
3522,Bellanduru
3523,Dodda Nekkundi
3524,Basavanagudi
3525,Rajarajeshwari Nagar
3526,Puttenahalli
3527,Hoodi
3528,Kaadubeesanahalli
3529,Hanumantha Nagar
3530,Kadugodi
3531,Pattanduru Agrahara
3532,Marathahalli
3533,Madiwala
3534,Garudachara Palya
3535,Hagadur
3536,Puttenahalli
3537,Hemmigepura
3538,Agaram
3539,Puttenahalli
3540,Mangammanapalya
3541,Byrasandra Ward
3542,Jeevanbhima Nagar
3543,Vasanthpura Ward
3544,Munekolala
3545,Ambalipura
3546,Bellanduru
3547,Puttenahalli
3548,Hoodi
3549,Hosa Tippasandra
3550,Banashankari
3551,Sitaramapalya
3552,Bellanduru
3553,Konena Agrahara Ward
3554,Dodda Nekkundi
3555,Hagadur
3556,Mangammanapalya
3557,Kadugodi
3558,Byrasandra Ward
3559,Kaggadasapura
3560,AECS Layout
3561,Domlur
3562,Suddagunte Palya Ward
3563,Vasanthpura Ward
3564,HSR Layout
3565,Munekolala
3566,Kadugodi
3567,Dodda Nekkundi
3568,Ambalipura
3569,Bellanduru
3570,Varthur
3571,Garudachara Palya
3572,Rajarajeshwari Nagar
3573,Hagadur
3574,Munekolala
3575,Rajarajeshwari Nagar
3576,Ambalipura
3577,Hagadur
3578,Ramagondanahalli
3579,Devarabeesanahalli
3580,Hemmigepura
3581,Konena Agrahara Ward
3582,Kadugodi
3583,Nallurahalli
3584,Pattanduru Agrahara
3585,Kaadubeesanahalli
3586,Varthur
3587,Nallurahalli
3588,Narayanapura
3589,Munekolala
3590,JP Nagar
3591,Chamarajpet
3592,Nallurahalli
3593,Hemmigepura
3594,Hagadur
3595,Bhoganahalli
3596,Hagadur
3597,Kadugodi
3598,Haralur
3599,Bellanduru
3600,Bommanahalli
3601,Ittamadu
3602,AGS Layout
3603,Kadugodi
3604,Sunkenahalli Ward
3605,Basavanagudi
3606,Bellanduru
3607,Kadugodi
3608,Basavanagudi
3609,Kadugodi
3610,Hagadur
3611,Others
3612,Kaadubeesanahalli
3613,Dodda Nekkundi
3614,Ramagondanahalli
3615,HAL Airport Ward
3616,Kundalahalli
3617,Hagadur
3618,Kaggadasapura
3619,Pantarapalya
3620,Maruthi Seva Nagar
3621,Kaadubeesanahalli
3622,Rajarajeshwari Nagar
3623,Varthur
3624,Varthur
3625,Bellanduru
3626,Varthur
3627,Dodda Nekkundi
3628,Jogupalya
3629,Narayanapura
3630,Bommanahalli
3631,Agaram
3632,Bellanduru
3633,Ambalipura
3634,Wilson Garden
3635,Varthur
3636,Varthur
3637,Ambalipura
3638,Nayandahalli Ward
3639,Bellanduru
3640,Dodda Nekkundi
3641,Dodda Nekkundi
3642,Bellanduru
3643,Dodda Nekkundi
3644,Malleshpalya
3645,Varthur
3646,Srinivasapura
3647,Haralur
3648,Dodda Nekkundi
3649,HSR Layout
3650,Kaadubeesanahalli
3651,Devarabeesanahalli
3652,Rajarajeshwari Nagar
3653,HSR Layout
3654,Sarakki
3655,Panathur
3656,Hagadur
3657,Lakkasandra
3658,Agaram
3659,BTM Layout
3660,Koramangala
3661,Subramanyapura
3662,Shanthala Nagar
3663,Hosakerehalli
3664,Ambalipura
3665,Jakkasandra
3666,Rajarajeshwari Nagar
3667,Kaggadasapura
3668,Dodda Nekkundi
3669,Garudachara Palya
3670,Basavanagudi
3671,Sitaramapalya
3672,Hoodi
3673,Hagadur
3674,GM Palya
3675,Dodda Nekkundi
3676,Garudachara Palya
3677,Rajarajeshwari Nagar
3678,C V Raman Nagar
3679,Hagadur
3680,Banashankari
3681,Kadugodi
3682,Hagadur
3683,Shanthi Nagar
3684,Kaadubeesanahalli
3685,Madiwala
3686,Hagadur
3687,GM Palya
3688,Kaadubeesanahalli
3689,Bellanduru
3690,Haralur
3691,Hagadur
3692,Kadugodi
3693,Kadugodi
3694,Banashankari
3695,AGS Layout
3696,Gurappanapalya Ward
3697,Kaadubeesanahalli
3698,Ambalipura
3699,Munekolala
3700,Srinivasapura
3701,Madiwala
3702,Bellanduru
3703,Malleshpalya
3704,Vignananagar
3705,Devarabeesanahalli
3706,Ambalipura
3707,Kaggadasapura
3708,Kaadubeesanahalli
3709,Ambalipura
3710,Kaggadasapura
3711,Marathahalli
3712,Hagadur
3713,Kaggadasapura
3714,Kumaraswamy Layout
3715,Bellanduru
3716,Pattanagere
3717,Kumaraswamy Layout
3718,Devarabeesanahalli
3719,Bilekahalli
3720,Hagadur
3721,Hosakerehalli
3722,Kadugodi
3723,Pattabhiram Nagar
3724,Hosa Tippasandra
3725,Kadugodi
3726,Varthur
3727,Puttenahalli
3728,Subramanyapura
3729,Jayanagar
3730,Varthur
3731,Dodda Nekkundi
3732,Basavanagudi
3733,Halasuru
3734,AGS Layout
3735,Konena Agrahara Ward
3736,Dodda Nekkundi
3737,Others
3738,Hagadur
3739,Bellanduru
3740,Bellanduru
3741,BTM Layout
3742,Udaya Nagar
3743,Hoodi
3744,Marathahalli
3745,Haralur
3746,Hagadur
3747,Bellanduru
3748,Sunkenahalli Ward
3749,Hagadur
3750,Varthur
3751,Ambalipura
3752,Narayanapura
3753,Vignananagar
3754,Thubarahalli
3755,Hoodi
3756,Hagadur
3757,HSR Layout
3758,Vignananagar
3759,Bommanahalli
3760,Dodda Nekkundi
3761,Hagadur
3762,Nallurahalli
3763,Rajarajeshwari Nagar
3764,Bellanduru
3765,Kadugodi
3766,Sitaramapalya
3767,Konena Agrahara Ward
3768,Hagadur
3769,Mangammanapalya
3770,Bellanduru
3771,Bellanduru
3772,Munekolala
3773,Chikkalasandra
3774,Thubarahalli
3775,Hagadur
3776,Garudachara Palya
3777,Hosakerehalli
3778,Hagadur
3779,Kamakshi Palya
3780,AECS Layout
3781,Lakkasandra
3782,C V Raman Nagar
3783,Varthur
3784,Kadugodi
3785,Malleshpalya
3786,Varthur
3787,Rajarajeshwari Nagar
3788,Hagadur
3789,Munekolala
3790,Vignananagar
3791,Ambalipura
3792,Srinivasapura
3793,Hemmigepura
3794,Hoodi
3795,Bellanduru
3796,Mangammanapalya
3797,Varthur
3798,HSR Layout
3799,Puttenahalli
3800,Bellanduru
3801,Bellanduru
3802,Ambalipura
3803,Kadugodi
3804,Vidyapeeta ward
3805,Dodda Nekkundi
3806,Bilekahalli
3807,Bellanduru
3808,Munekolala
3809,Suddagunte Palya Ward
3810,Hagadur
3811,Nallurahalli
3812,Domlur
3813,Dodda Nekkundi
3814,Hagadur
3815,Kadugodi
3816,Vasanthpura Ward
3817,Vignananagar
3818,Devarabeesanahalli
3819,Adugodi
3820,Kadugodi
3821,Ejipura
3822,Kaggadasapura
3823,Kadugodi
3824,Bhoganahalli
3825,Kaggadasapura
3826,Narayanapura
3827,Varthur
3828,Konena Agrahara Ward
3829,Sarakki
3830,Madiwala
3831,Brookefields
3832,GM Palya
3833,Malleswaram
3834,Nallurahalli
3835,Munekolala
3836,Rajarajeshwari Nagar
3837,Yelchenahalli Ward
3838,Nallurahalli
3839,Varthur
3840,Rajarajeshwari Nagar
3841,Thubarahalli
3842,Bommanahalli
3843,Munekolala
3844,Varthur
3845,Varthur
3846,Cox Town
3847,Bilekahalli
